Workload,Method,Peak Aging,Latency Cycles,Energy (pJ),TTF (Yrs)
ResNet-50,Initial,0.435324,16206848.0,958520400.0,0.081109
ResNet-50,NSGA-II,0.214237,7376272.0,960463500.0,0.792668
ResNet-50,PPO,0.215488,7376272.0,960463500.0,0.792668
BERT-Base,Initial,0.472681,169869312.0,3519881000.0,0.081109
BERT-Base,NSGA-II,0.265129,75497672.0,3523687000.0,0.285352
BERT-Base,PPO,0.26806,75497672.0,3523687000.0,0.285352
MobileNetV2,Initial,0.458472,8304128.0,558793500.0,0.081109
MobileNetV2,NSGA-II,0.253518,7225544.0,559735400.0,0.285352
MobileNetV2,PPO,0.254053,7225544.0,559735400.0,0.285352
EfficientNet-B4,Initial,0.469593,52308900.0,2452167000.0,0.081109
EfficientNet-B4,NSGA-II,0.260888,46785800.0,2455994000.0,0.285352
EfficientNet-B4,PPO,0.260948,46785800.0,2455994000.0,0.285352
ViT-B/16,Initial,0.474772,72585216.0,2506849000.0,0.081109
ViT-B/16,NSGA-II,0.173718,29049132.0,2510214000.0,0.507302
ViT-B/16,PPO,0.229161,29049132.0,2510214000.0,0.507302
